sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
175,Novo Horizonte,Brasil,Santa Catarina,SC,"-52,83403339","-26,44617199",4211652,Exact,100
176,Orleans,Brasil,Santa Catarina,SC,"-49,29142629","-28,36046897",4211702,Exact,100
177,Otacílio Costa,Brasil,Santa Catarina,SC,"-50,11231469","-27,50384618",4211751,Exact,100
178,Ouro,Brasil,Santa Catarina,SC,"-51,62056218","-27,34248817",4211801,Exact,100
179,Paial,Brasil,Santa Catarina,SC,"-52,50108875","-27,2551578",4211876,Exact,100
180,Painel,Brasil,Santa Catarina,SC,"-50,11300974","-27,9145182",4211892,Exact,100
181,Palhoça,Brasil,Santa Catarina,SC,"-48,67028792","-27,64704368",4211900,Exact,100
182,Palma Sola,Brasil,Santa Catarina,SC,"-53,27997725","-26,34650813",4212007,Exact,100
183,Palmeira,Brasil,Santa Catarina,SC,"-50,15900141","-27,58226207",4212056,Exact,100
184,Palmitos,Brasil,Santa Catarina,SC,"-53,16226729","-27,07025055",4212106,Exact,100
185,Papanduva,Brasil,Santa Catarina,SC,"-50,1632042","-26,39398307",4212205,Exact,100
186,Paraíso,Brasil,Santa Catarina,SC,"-53,67531413","-26,61526297",4212239,Exact,100
187,Passo de Torres,Brasil,Santa Catarina,SC,"-49,72514527","-29,3234599",4212254,Exact,100
188,Passos Maia,Brasil,Santa Catarina,SC,"-52,0617238","-26,7808891",4212270,Exact,100
189,Paulo Lopes,Brasil,Santa Catarina,SC,"-48,68149541","-27,9498162",4212304,Exact,100
190,Pedras Grandes,Brasil,Santa Catarina,SC,"-49,18648755","-28,43721765",4212403,Exact,100
191,Penha,Brasil,Santa Catarina,SC,"-48,64757291","-26,76886109",4212502,Exact,100
192,Peritiba,Brasil,Santa Catarina,SC,"-51,90981467","-27,37730928",4212601,Exact,100
193,Pescaria Brava,Brasil,Santa Catarina,SC,"-48,895556","-28,424722",4212650,Exact,100
194,Petrolândia,Brasil,Santa Catarina,SC,"-49,69486862","-27,52812683",4212700,Exact,100
195,Pinhalzinho,Brasil,Santa Catarina,SC,"-52,98225325","-26,84881433",4212908,Exact,100
196,Pinheiro Preto,Brasil,Santa Catarina,SC,"-51,23053648","-27,04513462",4213005,Exact,100
197,Piratuba,Brasil,Santa Catarina,SC,"-51,75864983","-27,41595355",4213104,Exact,100
198,Planalto Alegre,Brasil,Santa Catarina,SC,"-52,86735203","-27,0694598",4213153,Exact,100
199,Pomerode,Brasil,Santa Catarina,SC,"-49,17419753","-26,7448264",4213203,Exact,100
200,Ponte Alta,Brasil,Santa Catarina,SC,"-50,37710065","-27,4677841",4213302,Exact,100
201,Ponte Alta do Norte,Brasil,Santa Catarina,SC,"-50,46540427","-27,1690292",4213351,Exact,100
202,Ponte Serrada,Brasil,Santa Catarina,SC,"-52,01453751","-26,8749128",4213401,Exact,100
203,Porto Belo,Brasil,Santa Catarina,SC,"-48,60275674","-27,14946621",4213500,Exact,100
204,Porto União,Brasil,Santa Catarina,SC,"-51,08160463","-26,2300049",4213609,Exact,100
205,Pouso Redondo,Brasil,Santa Catarina,SC,"-49,95565214","-27,25108628",4213708,Exact,100
206,Praia Grande,Brasil,Santa Catarina,SC,"-49,96059198","-29,1957764",4213807,Exact,100
207,Presidente Getúlio,Brasil,Santa Catarina,SC,"-49,62208617","-27,04140824",4214003,Exact,100
208,Presidente Castello Branco,Brasil,Santa Catarina,SC,"-51,81137554","-27,2199422",4213906,Exact,100
209,Presidente Nereu,Brasil,Santa Catarina,SC,"-49,40329277","-27,2873292",4214102,Exact,100
210,Princesa,Brasil,Santa Catarina,SC,"-53,59810588","-26,44433521",4214151,Exact,100
211,Quilombo,Brasil,Santa Catarina,SC,"-52,72760957","-26,74005555",4214201,Exact,100
212,Rancho Queimado,Brasil,Santa Catarina,SC,"-49,00843238","-27,67720886",4214300,Exact,100
213,Rio das Antas,Brasil,Santa Catarina,SC,"-51,07601994","-26,89706744",4214409,Exact,100
214,Rio do Campo,Brasil,Santa Catarina,SC,"-50,13958891","-26,94230843",4214508,Exact,100
215,Rio do Oeste,Brasil,Santa Catarina,SC,"-49,80286222","-27,19116652",4214607,Exact,100
216,Rio do Sul,Brasil,Santa Catarina,SC,"-49,64323753","-27,21790323",4214805,Exact,100
217,Rio dos Cedros,Brasil,Santa Catarina,SC,"-49,27237944","-26,74912982",4214706,Exact,100
218,Rio Fortuna,Brasil,Santa Catarina,SC,"-49,1050938","-28,13259139",4214904,Exact,100
219,Rio Negrinho,Brasil,Santa Catarina,SC,"-49,51729508","-26,25532503",4215000,Exact,100
220,Rio Rufino,Brasil,Santa Catarina,SC,"-49,7775918","-27,8632355",4215059,Exact,100
